,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Name_enc,Loc_enc,Yr_enc,owner_enc,trans_enc,fuel_enc
0,72000,26.6,6.905753276311464,4.063197833225264,5.0,1.75,5.370167267937241,9.42995585437779,5.628109896313192,9.961466832051496,5.342326452425705,4.420222477306708
1,41000,19.67,7.366445148327599,4.837867950107113,5.0,12.5,11.057485613738306,6.76981753718709,11.192512842841165,9.961466832051496,5.342326452425705,12.830150756921421
2,46000,18.2,7.089243155027514,4.485259889315534,5.0,4.5,8.449620250160196,7.787866435520323,6.88755185609715,9.961466832051496,5.342326452425705,5.714809391691668
3,87000,20.77,7.129297548929373,4.485936098064394,7.0,6.0,7.64727667149265,7.787866435520323,7.361245226274987,9.961466832051496,5.342326452425705,12.830150756921421
4,40670,15.2,7.584773077612199,4.9473404437239425,5.0,17.74,10.740275500131926,14.991555237619583,8.711190718516292,7.619104993356075,19.78406051069499,12.830150756921421
5,75000,21.1,6.70196036600254,4.01096295328305,5.0,2.35,8.831334863840247,9.772599313167856,7.361245226274987,9.961466832051496,5.342326452425705,5.983234175112136
6,86999,23.08,7.2868764117507,4.144720769547168,5.0,3.5,6.920275500131926,5.8959921595797695,8.711190718516292,9.961466832051496,5.342326452425705,12.830150756921421
7,36000,11.36,7.9211727215870145,5.144583266605995,8.0,17.5,11.307283346326365,9.42995585437779,11.689273879496978,9.961466832051496,19.78406051069499,12.830150756921421
8,64430,20.54,7.37650812632622,4.640537329825382,5.0,5.2,7.383037972346819,6.76981753718709,8.711190718516292,9.961466832051496,5.342326452425705,12.830150756921421
9,65932,22.3,7.129297548929373,4.30406509320417,5.0,1.95,7.3531916787316245,7.787866435520323,7.361245226274987,7.619104993356075,5.342326452425705,12.830150756921421
10,25692,21.56,7.2875606403097235,4.637153231841142,5.0,9.95,9.394206423249441,11.153471533286288,15.52332689448781,9.961466832051496,5.342326452425705,5.714809391691668
11,60000,16.8,7.311218384419629,4.7561730595246186,5.0,4.49,9.001223625186894,5.7312746486279575,7.361245226274987,9.961466832051496,19.78406051069499,5.714809391691668
12,64424,25.2,7.129297548929373,4.30406509320417,5.0,5.6,5.99743130493275,5.8959921595797695,11.192512842841165,9.961466832051496,5.342326452425705,12.830150756921421
13,72000,12.7,7.68662133494462,5.234844943592463,5.0,27.0,15.604620250160195,9.703678516847939,9.63737878996559,9.961466832051496,19.78406051069499,12.830150756921421
14,85000,18.12893503904308,7.68662133494462,4.74493212836325,5.0,17.5,12.253191678731623,6.76981753718709,7.361245226274987,7.619104993356075,19.78406051069499,12.830150756921421
15,110000,13.5,7.814803429489359,5.167980864820033,7.0,15.0,10.886978900149517,9.703678516847939,9.63737878996559,9.961466832051496,5.342326452425705,12.830150756921421
16,58950,25.8,7.311886164077165,4.591071261608589,5.0,5.4,5.721748202763317,11.153471533286288,11.689273879496978,9.961466832051496,5.342326452425705,12.830150756921421
17,25000,28.4,7.129297548929373,4.30406509320417,5.0,5.99,8.606514115557134,5.8959921595797695,13.69315692378933,9.961466832051496,5.342326452425705,12.830150756921421
18,77469,20.45,7.2868764117507,4.428433007488037,5.0,6.34,9.194062136567522,11.153471533286288,9.63737878996559,9.961466832051496,5.342326452425705,12.830150756921421
19,78500,14.84,7.669961995473577,5.1216995126707605,5.0,28.0,14.129645566816183,13.224034466038693,9.63737878996559,9.961466832051496,19.78406051069499,12.830150756921421
20,32982,22.69,7.598399329323964,5.247024072160486,5.0,18.55,11.75382278340809,11.153471533286288,9.63737878996559,9.961466832051496,19.78406051069499,12.830150756921421
